"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020050194","","0","IL","644929ST","2019","6","1"
"2020035098","","0","OK","BB6705","2020","7","1"
"2020019646","","0","PA","","","1","2"
"2021008153","","0","PA","XCG7493","2020","8","2"
"2020050322","","0","PA","XM73790","2020","3","1"
"2020055665","","0","MO","27E7VK","2020","7","1"
"2020040819","","0","PA","PT392D4","2020","6","1"
"2020040954","","0","ME","2472886","2020","7","1"
"2020096297","","0","PA","XDA3228","2024","8","1"
"2020060826","","0","NV","78840","2021","8","1"
"2020086651","","0","MS","129383A","2021","7","1"
"2020016210","","0","VA","893282TL","2000","7","1"
"2020011220","","0","PA","XLC4922","2020","7","3"
"2020007141","","0","PA","PA0730A","9999","6","2"
"2020054025","","0","ME","B983555","2021","7","1"
"2020028283","","0","PA","PT923A2","2004","7","2"
"2020010036","","0","ME","279386D","2027","7","1"
"2020062531","","0","PA","PT372B1","2021","7","2"
"2020036111","","0","","","","8","2"
"2020025589","","0","","","","7","2"
"2020091611","","0","TN","U557224","2021","7","2"
"2020058412","","0","PA","XFS6620","2009","3","1"
"2020056708","","0","ON","S1209D","2021","7","1"
"2020088853","","0","PA","XS03055","1985","5","2"
"2020037664","","0","ON","D6090K","2020","3","1"
"2020073847","","0","PA","XT61729","2020","6","2"
"2021003792","","0","TN","139110T","2021","6","1"
"2020048999","","0","PA","XKP3141","2020","3","1"
"2020037242","","0","ME","2846794","2028","7","2"
"2020070189","","0","OK","7452LP","2020","8","1"
"2020103603","","0","NC","T718590","2018","7","2"
"2020009448","","0","PA","PT959B2","2020","7","2"
"2020025816","","0","LA","L068951","2021","7","1"
"2020022242","","0","IN","P533026","2020","7","1"
"2020049616","","0","","","","7","2"
"2020093087","","0","MX","B622726","2021","5","1"
"2020091496","","0","","","","3","1"
"2020075528","","0","OK","4084JH","2020","6","1"
"2020015531","","0","PA","PT9544Z","2020","7","2"
"2020110007","","0","IL","559042ST","2021","7","2"
"2020112269","","0","IN","P839985","2021","7","1"
"2020031270","","0","PA","XJK6861","2021","3","2"
